"clade","B121-M06","B088-M06","B211-M04","B299-M04","B081-M04","B235-M06","B142-M12","H01-M06","H23-M06","B454-M12","B454-M06","H15-M04","B334-M04","B117-M06","B266-M06","B177-M06","B168-M06","B087-M06","B146-M04","B327-M06","H11-M04","B063-M04","B470-M06","B346-M06","H04-M04","H09-M06","H08-M12","B005-M04","B109-M12","H19-M12","B117-M04","B198-M06","B142-M04","B372-M12","H28-M04","H20-M04","B372-M04","H10-M04","B454-M04","B044-M04","H09-M04","B151-M06","B061-M04","B211-M06","B386-M06","B185-M06","H07-M06","B066-M12","B358-M12","B177-M04","H03-M12","H06-M12","H02-M04","H03-M04","B185-M04","B061-M06","B123-M04","B461-M06","B372-M06","H04-M12","B193-M06","B066-M06","B103-M04","B336-M06","B142-M06","B168-M04","B301-M12","B103-M12","B226-M06","B341-M06","H20-M12","B087-M04","B029-M06","B358-M06","H07-M04","B379-M12","H01-M04","B226-M04","B066-M04","B977-M06","B043-M06","B228-M12","H11-M12","B426-M12","B364-M04","B177-M12","B235-M04","B198-M12","B349-M12","B295-M06","H22-M06","B294-M04","B029-M12","B081-M06","B341-M12","B109-M04","B346-M04","B461-M12","H27-M04","B029-M04","H01-M12","H26-M12","B301-M06","H04-M06","H15-M06","B295-M12","B475-M12","B167-M06","H21-M04","B123-M12","B190-M06","H12-M06","B005-M06","B977-M12","B349-M06","B236-M04","H19-M04","B299-M06","B336-M12","B341-M04","B294-M06","B190-M04","B063-M12","B044-M12","H18-M06","B226-M12","B087-M12","B295-M04","B069-M04","B475-M06","H06-M04","B426-M04","B266-M12","B125-M12","B327-M04","B346-M12","B168-M12","B121-M12","B117-M12","H27-M06","B109-M06","B301-M04","B174-M06","B336-M04","B327-M12","B167-M04","B426-M06","B151-M04","H03-M06","B103-M06","B193-M04","H09-M12","B005-M12","B069-M06","B228-M06","B266-M04","B211-M12","H26-M06","B081-M12","B165-M04","B470-M12","H02-M06","H17-M06","H17-M12","H05-M06","H26-M04","H08-M06","H08-M04","H22-M12","B198-M04","B358-M04","B349-M04","H15-M12","B364-M12","H28-M06","B991-M04","H11-M06","B991-M06","B088-M12","B146-M12","B193-M12","H20-M06","B063-M06","B235-M12","B379-M06","B174-M04","B088-M04","B069-M12","H12-M12","B991-M12","B386-M12","B043-M04","H05-M12","B061-M12","B125-M06","H05-M04","B236-M06","H07-M12","B165-M06","B461-M04","B364-M06","B475-M04","H19-M06","B379-M04","H06-M06","H23-M12","H10-M12","H21-M06","B470-M04","H17-M04","B044-M06","B299-M12","B185-M12","B190-M12","H18-M12","H21-M12","B125-M04","H02-M12","B977-M04","H23-M04","H12-M04","B334-M06","B043-M12","B334-M12","B228-M04","B121-M04","H10-M06","H22-M04","B294-M12","B123-M06","H27-M12","B165-M12","B386-M04","B236-M12","B151-M12","B167-M12"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli",0,0.0267,0,28.20369,22.75704,0.03742,1.55636,3.49101,7.78196,2.20802,65.3194,0,32.76792,56.13989,27.94134,1.93564,59.44271,29.57899,9.73338,3.84535,0,0,5.44128,3.69447,17.47357,6.67445,0.18166,1.31146,1.07047,15.38104,39.06302,0.10213,0.00565,1.95942,1.38709,4.28687,10.35483,8.43097,91.04898,6.89165,3.54703,28.99956,11.28533,5.64694,6.45093,0,0.7464,71.90137,4.71024,10.48695,2.30319,1.49218,7.00891,8.13055,5.95174,40.29673,6.50829,0,9.19354,1.724,3.21192,6.08732,29.63098,12.26006,6.68127,49.9507,0.06211,0,2.7809,12.76642,2.40784,9.29317,0.14714,9.12217,0.08072,5.34918,6.45443,0.86476,6.23876,1.96484,0,73.80889,0.8532,89.2986,45.80239,11.2996,0,7.84988,23.29199,74.50404,1.31502,1.71474,0.66887,9.20796,3.0828,0.24948,21.56738,2.35549,32.0496,0,0.19287,0.01088,13.81577,4.9893,0,3.09304,46.23371,7.04542,3.14082,15.62276,0,9.77476,20.6256,0.01802,8.73372,21.11331,10.56422,1.69386,4.29354,64.5324,16.48419,11.62615,94.30523,3.76015,1.65061,24.80745,1.58242,61.59053,18.08715,39.79291,4.81732,0.25353,80.26475,0.778,10.16563,2.28723,11.92005,11.29691,71.98776,44.14309,0.87014,15.3082,7.31152,5.44884,90.24872,7.02261,46.45387,33.60256,54.87606,0,12.63437,0.81802,55.03621,29.03241,51.63134,5.8667,0.49553,10.01353,0.8001,0,81.77588,19.01494,4.57012,14.01264,4.46003,8.59457,23.35561,4.99951,0.79847,22.07089,0.08872,0.8179,0.52482,7.8566,1.97781,1.44839,0,0.46619,2.74913,1.62344,0.012,1.28655,5.96028,19.85556,0.61843,1.60277,10.76373,0.59958,3.28289,1.02406,0,5.20493,0.16955,17.9917,11.85372,2.24378,44.94768,2.37634,1.11267,3.7455,57.93314,8.5728,2.49947,1.04611,7.92505,1.157,0,2.13067,0.07589,16.80281,10.22834,62.45165,3.27183,21.58222,0.55238,0.03751,0,1.88477,1.42506,21.18176,1.93834,28.3539,0.86962,50.86776,0,0,1.30885,0.17136,22.74314,15.75136,13.75657,31.75035,1.80176,56.86048,53.37487,19.74398
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve",0,0,0,0,6.39375,0,4.35934,0,0,3.56417,14.42779,36.12706,0,0.07998,17.32014,0,0,0.40608,0.00591,0,0,79.59531,0,0,44.55337,74.89054,0.603,86.57339,0.80679,0,0.74381,96.84964,0,0,0,0,0,0.00157,6.21125,1.16858,72.41371,64.23963,0,52.45323,12.99011,1.14403,0,0,0.06144,0,0,0,14.48213,0,45.62066,0,14.3622,0,0,0.46573,25.49059,0,0.05917,32.14201,0.04306,20.7639,1.55995,5.75971,11.34013,0,0,3.28526,12.14101,41.81422,0,6.82395,0,58.10113,0,9.50318,34.47184,0,14.12925,0,0.00357,6.71422,0,49.49106,4.97475,0,0.0813,0,4.70754,1.46725,0,4.69592,0.13807,0,0,0.61692,0.0069,0,39.02858,14.5702,19.36829,0,39.4659,0,33.78316,5.80163,0,0.41254,34.66846,4.83996,0.33716,0.02465,0,0,0.41554,0,0,0.00148,0.01117,0,0,2.52568,3.26287,0,0.00564,0,0.00229,0.68594,0.38314,0,0,0,3.01351,0,10.22736,0,2.70329,0,11.28584,3.19535,0,0,4.61857,63.02691,0,0,54.50575,0.11534,3.12665,0,0,30.88845,8.83177,0,2.72464,0,0.00124,0,0,0.27425,25.23062,0,0.78403,0.00754,0.05545,52.05361,65.35947,21.23022,3.11678,1.22595,0,78.72136,0,52.60385,0,0,5.09815,0,37.46242,0,1.67229,2.38767,0,0.00904,0.06352,4.49977,42.90519,90.35963,0.61262,0,0,44.48726,0.07871,0,0.03154,0,0,0,0,0,0,1.87122,0,21.06462,0,0,0,0,0.49214,0,33.18041,0,0,0.16882,6.40788,0,27.75973,0,26.45657,0,0,0,0,1.57904,11.13637,10.50459,0,1.16825,10.37462,0.8508,9.24724,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis",0.12287,0.0603,2.72136,0,0,0,0,0.01769,0.20248,0,1.16351,0.0618,3.2683,0.02253,0.52396,0.18817,0,2.35639,0.2682,0.00806,5.23292,0.06793,0.04192,0,0.59622,1.49271,0.08183,0.0311,7.69594,0,0.1612,0,0.03241,0,0.25993,0,0.26575,0,0,0.09825,0.01109,1.39468,0,0.83962,0,25.46525,0,0,0,0.69828,0,1.05858,0.55126,0,0.14289,0,2.40168,0.18384,1.27516,0,5.93731,0,0.07916,0.19031,0.00602,0,0,1.41632,0.12728,0.15885,0,0.07151,0.00894,0,23.48464,0.01871,3.80612,0,0,0.24559,0.30571,0,0,0,0,0,0.07853,0,4.34804,1.42282,0.14346,7.60855,0,0,0,0.45217,1.87236,0,0.37181,3.42298,0,0,0.04745,0.76837,0.45037,0,0,3.58217,0,0.01321,0,0,0,1.3196,0.52136,0.15199,0.00798,0.26097,0,0.38354,21.23658,1.04353,0,0,0.02327,0,0.36155,5.74437,0,0.09401,0.40278,0,0,0,0.88178,0,0.02842,0.18729,0,0,5.49755,0,0.05444,1.08141,5.79543,4.18778,0.05252,0.5277,0,0.04792,0.61215,0,0,0,0,1.45845,7.68422,0.02032,0,0.03979,0,0.14949,2.14725,0,12.9334,0.19067,0.55038,1.20167,0.0328,0.02718,0,1.06779,0,0.22017,0,0,3.38806,0.28909,0.13211,0,0,0,0,0.93816,0.19057,0.02953,0,0,0,0,0.0055,0.16945,0,0,0.22611,2.44372,0.1646,0,0.15099,0.48125,0.10217,0.33864,0.07756,0,1.63873,0,0,0,0,8.99358,0.55571,0,0.24055,0.09522,0,0,0.45602,0.01019,0.26423,4.22418,0.38701,0.07635,0.02695,0,0.2228,1.43723,0,0.02783,1.61802,0.75802,0,0,0.0118,0.18738,0.34701,1.58378
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica",0.25782,0,1.66072,3.37635,30.7581,23.99518,0.20351,0.28165,0,0,0.00263,0,4.22283,2.45172,0.01888,6.19683,6.95642,1.51652,0.57388,0.61843,0,13.35658,0.07097,10.84497,0,0.14414,1.24194,0.00797,46.57874,0.1494,0.53429,0.03092,8.65082,0.20532,0.00487,0,0.10415,0.29002,0.01268,1.98759,0.05485,0.26944,29.18314,13.96604,0.13063,0,0.10887,0.04266,12.17079,0,8.384,0.74891,0.10647,0,14.00252,8.93314,17.08553,0,0.01189,0.1816,0.04284,18.97768,1.39069,0.09487,3.17554,9.98932,0,5.23817,0.0134,10.84712,0.00592,10.39757,0,7.70727,0.02105,0.48481,0,0,32.88148,0.02053,0.02996,0.21592,0.27661,7.42075,0.30922,0,1.9643,0,4.85646,0.50617,0,2.2975,0.08777,3.01722,0,0,3.64001,0,0,0.02694,0,7.62276,0.03507,0.43493,0,1.17252,0.15131,0,0.01288,0.15637,0.00542,0,0.0658,0.3527,24.48757,0.05975,0.1078,15.16062,0,7.05694,2.46445,0.35391,0,13.90467,2.90946,0.94791,1.25185,0,20.22545,0.04491,0,0,1.67516,6.44714,3.4814,0,8.76249,0.0097,4.22671,0.09276,1.17071,29.17559,16.23785,2.78551,0,20.08576,11.65988,0.15315,0,0,0,0.00596,0.73713,10.67467,0.13032,0.19729,20.60943,0.05171,0.39111,3.5505,0.08281,0.02861,3.59992,0.17387,0.04781,0,0.12891,0.03915,0,0.03981,8.962,25.0354,0.05264,1.26893,0.1086,0,0,0,0.08664,19.20318,0.01469,0.13756,2.06793,52.95235,0.01983,0,9.8171,0.31944,0.9058,2.9618,0,0,0,0.04242,0.0495,0.02878,0,0,3.67171,0,0.00414,1.29721,1.25793,0.0454,0,0,0.00925,0.02609,3.77759,0,0.85942,0.11821,0.02383,0.47642,0,0.02469,6.13738,1.08545,0,0,0,16.76556,4.88457,0.07516,0,0,0.1601,0.0294,7.40599,0.76051,0,4.29013,1.10657,0,0.55896,1.44322
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius",0.28392,0,0.03912,0.05975,1.41092,0,18.07029,0.15161,0.08284,0,0.74895,0.96256,0.09583,0.00273,0,0.01174,12.37129,0,0.08558,0.0119,0,0.33253,0.62609,0.10993,0.00398,0.06151,2.67722,0.1,0.11468,9.1445,0.00901,0.17988,0.47559,0.1179,0.03727,0.12768,0.13306,0.07958,0.01051,0.97392,0.05154,0.00136,1.70692,0.01649,0,0,0.03213,0.05655,0.06614,0,0.08723,0.01839,0.08217,0,0.03077,1.4016,0.07531,0,0.58711,0.32097,0,0.06602,0.528,0.06812,0.61953,0.55552,0.1107,0.02259,0.18515,0.06476,0.06601,0,0,0.00096,0.02301,1.25215,0.6635,0.03965,2.13652,0.08691,0.10942,0.2422,0.35951,0.00269,0.27393,0,0.12244,0.13764,0.148,0.09404,0.06393,1.20787,0.01302,0.03658,0,0.13378,0.01441,0,0.03058,0.09595,1.0741,9.311,0,0.03647,1.16605,0.39703,0.0053,0,0.0779,0.10864,0.42667,0.08829,4.48699,0.02945,1.14801,0.06464,0.26465,1.86505,0.92744,0.0356,0.04588,1.381,0.86406,2.3096,2.96655,0.02911,7.14476,0.17075,5.70243,0,0.15376,0.06412,0,2.71091,0.11045,0.0287,1.56803,0,0,0.12212,0.01992,0.05305,1.71674,0.55711,0.08156,0.00236,0.32987,0,0,0.33867,0,0.05732,0.65917,1.11909,0,0,0.0202,0.34182,0.0107,0.14568,0.29733,0.02857,0.18097,1.94158,0,0,0.22055,0,0.47539,0.08435,0,0,0.21825,4.21271,0.00691,0.03564,0,0.03715,0.24084,8.55729,0.14254,0.03159,0.07607,0.59739,0,0.00635,0.02552,0.13859,1.28145,1.58322,0.33655,0.23224,0.75979,1.96637,0.29876,0.01764,0,0.04056,0.22844,0,0.04262,0.01325,0.65158,0.01865,0.38433,0.02111,0.35564,0.073,0.34752,0.0467,5.63944,0.69856,0,0,0.18404,0.581,0.62043,1.78293,0.16617,0.52829,0.03468,0.09327,0.22595,0.11418,0,0.37541,0.1283,0,0.0268,0.0343,5.02612,5.41856,0,0.24262,0.11741,0.2708
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis",0.03488,0,0.1122,0.19486,1.42556,0.38999,7.17612,0.03475,0.01058,0.07405,0.10644,0.1585,0.06375,0.02339,0,0.01144,2.39295,0.16888,0.11689,0.0309,0.06412,0.1285,0.42492,0.39869,0.01398,0.08545,0.14138,0.05779,0.00044,1.18935,0.09588,0.16428,0.15731,0.05377,0.06218,0.00922,0.04444,0.0231,0.03335,0.56975,0.1327,0.10799,1.10558,0.46246,0.08953,0,0.02996,0.34522,0.04388,0.13818,0.01166,0.02759,0.0043,0,0.19962,0.68961,0.38053,0,0.08387,0.11126,0.03594,0.1432,0.08017,0.08494,1.01235,0.07712,0.41727,0.37566,0.14231,0.05868,0.06461,0.15171,0.08166,0.02177,0.05213,0.09705,0.09255,0.24862,0.02553,0.05091,0.0777,0.08806,0.02892,0.18495,0.33833,0,0.12296,0,0.11251,0.34218,0.53832,0.5048,0.02513,0.19692,0,0.01059,0.09659,0.01373,0.00712,0.0024,0.58251,0.79949,0.00047,0.04522,0.44518,0.04518,0.06531,0.01081,0.022,0.03793,0.1333,0.07431,0.48982,0.01209,0.02302,0.02281,0.00697,1.54086,0.40343,0.08038,0.22055,3.32442,0.04916,0.91875,0.70094,0.11754,0.66305,0.28616,0.09607,0.02897,0.11566,0.08864,0.03993,0.57227,0.12816,0.48634,0.71649,0,0,0.14227,0.02387,0.06164,4.76771,0.38336,0.20495,0.19329,0.09967,0.02992,0,0.12566,0.21942,0.0878,0.12633,0.41093,0,0,0.0422,0.24125,0.08618,2.52672,0.22424,0.08714,0.26404,0.58675,0.12672,0.03647,0.15526,0.02755,0.47883,0.18213,0,0,0.02599,0,0.03162,0.03057,0,0.04619,0.05041,0.60064,0.22281,0.01898,0.85886,0.1335,0,0,0.03228,0.03686,0.9028,0.41012,0.10723,0.0697,0.07814,0.1946,1.30138,0.21844,0.01074,0.03316,1.77557,0.00819,0.05402,0.12631,0.2149,0.00429,0.0379,0,0.16652,0,0.44167,0.00566,1.75515,0.1186,0.92066,0,0.08781,0.08465,0.1813,0.0581,0.04906,0.49147,0.105,0.25281,0.21022,0.23532,0.04012,0.37494,0.07004,1.79861,1.44989,0.05629,1.00605,3.33008,0.31264,0.05438,0.18797,0.0943
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar",0.12374,0,1.55054,10.0522,13.77914,4.16393,26.79376,0.54382,0,5.60125,0.2853,0,0.43377,1.78786,0,0.0132,6.04055,6.60713,0.10656,0.23579,0.01696,3.04597,0.37811,5.65975,0,0.1349,1.32604,0.07006,0.43592,0.18067,0.13812,0.07186,5.3957,0.41874,0.00726,0.009,0.09992,0.06197,0.09484,2.22826,0,0.74305,0.75814,4.5931,0.04006,4.44768,4.95002,13.43251,0.33164,0,0,0.06208,0.13219,0,7.18969,0.51451,0.03052,0,0.01186,0.01882,0.02058,8.7114,0.45269,0,1.29393,0,0,1.04692,0.00838,2.6164,0.08716,4.59453,0,1.22757,0.02369,0.96314,0.04141,0,10.0355,0.12752,0.24305,0.14038,0.33714,0.67291,0.64962,0.03502,0.02637,0.70334,1.09239,0.73248,0.01362,1.35981,0.05076,0.7788,0,0,2.23667,0.01113,0,0,0,2.42357,1.91331,0.40465,0,0.47334,0.19759,1.0376,0,1.62176,0.222,0,0.62299,0.24518,8.28375,0,0.06549,22.4541,0,1.0517,3.04187,10.44058,0,1.62221,3.18242,0.26748,17.11793,0,1.84052,0.01462,0,0.77767,0.45801,0.49179,0.18756,0,4.33955,0,0.05126,0.13823,0.27947,5.52003,12.17926,0.02871,0,0.98206,4.35592,0.02819,0,0,0,0.02583,0.27446,0.56972,1.41367,0.03472,4.83322,4.00802,0.33043,0,0,0.01723,1.42882,0.32802,0.08605,0,0.08158,0.05891,0,5.22215,0.27392,11.26701,0.03998,0.62265,0.00643,0,0,0,0.10972,1.89027,0.26582,0.26285,2.53669,0.83386,0.11926,0,1.16027,0.09452,1.00728,0.49873,0.00505,0.01398,0,0.53364,0.49526,0.10857,0.00917,0,2.0718,0,0.03498,0.1656,0.11639,0.2395,0.30148,0,0.00662,0,22.51115,0,1.62353,0,0.19328,0.5269,0,0.28749,0.44428,1.66444,0,0,0,0.46524,3.9081,0.91287,0,0.30298,0.03289,0.63256,1.72714,1.24585,0,1.62262,0.03662,0.28707,0.95492,2.25111
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis",0,0,0.00418,0,0,0,0,0,0,0,0.07109,0,0,0,0,0,0,0,0.06463,0,0,0.48289,0,0.11407,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01319,0,0,0,0,0.02019,0,0,0,0,0,0,0,0,0.02767,0.16627,0,0,0,0.00252,0,0,0,0,0,0,0.00926,0,0.04687,0,0,0,0.36493,0,0,0,0,0,0,0,0,0,0.38015,0,0,0,0,0,0,0,0,0,0,0,0.89116,0,0,0,0,0.05977,0,0,0.0336,0,0,0,0,0,0,0,0,0.11714,0,0,0,0,0,0,0,0,0.01065,0.04975,0.50116,0,1.0592,0.00804,0,0,0,0.06649,0.00416,2.43209,0,0,0,0,0,0,0,0,0,0,0,0.00603,0,0.01215,0.1968,0,0.02186,0.00394,0,0,0,0,0,0,0.03209,0,0,0,0,0,53.32668,0,0,0.71018,0,0,0,0,0.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00682,0.05581,0,0,0,0,0,0.02513,0,0,0.03101,0.09458,0,0,0,0,0,0,0.00998,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_infantium",0.03443,0,0.30728,2.85933,2.83053,0.18188,6.75103,0.40375,0,3.13982,0.06805,0,0.22895,0.83692,0,0.00699,1.33279,2.34192,0.02705,0.2018,0.00218,1.16375,0.04112,1.88905,0,0.03854,0.59332,0.00257,0.13787,0.1104,0.07763,0.0176,1.90453,0.32631,0,0.00957,0.16046,0.01648,0.01043,0.56197,0.00146,0.05426,0.57015,1.28153,0.05423,0,0.30908,6.55553,0.17647,0,0.00978,0.02686,0.0162,0,2.38976,0.43285,0.02862,0,0.01401,0.00946,0.00595,1.84895,0.3138,0,0.45959,0,0,0.33258,0.00534,1.92136,0.02753,2.03914,0,0.58735,0.00664,0.73978,0.0067,0,1.41964,0.09,0.00564,0.09736,0.16068,0.66592,0.29669,0.01971,0.009,0.16961,0.44483,0.13741,0,0.71092,0.02186,0.14748,0,0,0.84549,0,0,0,0,1.58508,0.39641,0.20241,0,0.39941,0.12581,0.05063,0,0.86777,0.02237,0,0.10448,0.1264,4.39768,0,0.00824,6.34633,0,0.58341,0.62542,1.59827,0,0.31681,2.61692,0.17083,8.5432,0,0.51427,0.00562,0,0.38594,0.12303,0.21051,0.15276,0,2.0919,0,0.01626,0.08179,0.10871,1.93684,9.83952,0.02645,0.01099,0.41095,2.08093,0,0,0,0,0.00097,0.0761,0.18157,0.39034,0.01148,2.6128,0.65958,0.38166,0,0.00517,0.00956,0.73287,0.0733,0.03757,0,0.02704,0.03796,0,2.22733,0.16482,3.61349,0.0292,0.51806,0.00564,0,0,0,0.04095,1.00401,0.10447,0.15548,0.72962,0.20474,0.0647,0,2.08081,0.02945,0.52477,0.29547,0.0022,0.00903,0,0.20892,0.04412,0.05171,0,0,0.6148,0,0.00234,0.08005,0.09412,0.13757,0.08422,0,0,0,5.03106,0,0.53839,0,0.05242,0.17751,0,0.06377,0.02292,0.75482,0,0,0,0.18876,0.80593,0.52268,0,0.01775,0.0162,0.24855,0.35964,0.02194,0,0.4655,0.01692,0.22236,0.53679,0.57427
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_parvulum",0,0,0,0.01793,0,0.0183,0,0,0,0,0,0.00143,0.02731,0,0,0,0,0,0.01027,0,0,0.00193,0,0,0.00799,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0.0119,0,0,0,0,0,0,0,0,0,0,0,0,0.00177,0,0,0,0,0,0,0,0,0,0,0,0,0.01977,0,0,0,0,0.00486,0,0,0,0,0,0,0,0,0,0,0,0.00393,0,0,0,0.00339,0.01925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00413,0,0,0,0,0,0,0.01639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00775,0,0,0,0,0,0,0,0,0,0,0,0,0.00356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00953,0,0,0.01068,0,0,0,0,0,0.00313,0,0,0.00231,0,0,0,0.00186,0,0,0,0,0,0.0483,0,0,0,0,0,0,0,0,0,0,0.03476,0,0.02164,0.00442,0,0,0,0,0.039,0,8e-04,0,0,0.00582,0,0,0
